source_image_basename,target_image_basename,composite_image_path,predicted_class,likelihood
[immun]0005.jpg,[normal]0007.jpg,output/composite_images/source_[immun]0005_on_target_[normal]0007.jpg,non-infection,0.95
[immun]0005.jpg,[scar]0008.jpg,output/composite_images/source_[immun]0005_on_target_[scar]0008.jpg,non-infection,0.93
[immun]0005.jpg,[cat]0003.jpg,output/composite_images/source_[immun]0005_on_target_[cat]0003.jpg,non-infection,0.93
[immun]0005.jpg,[deposit]0004.jpg,output/composite_images/source_[immun]0005_on_target_[deposit]0004.jpg,non-infection,0.94
[apac]0001.jpg,[infection]0006.jpg,output/composite_images/source_[apac]0001_on_target_[infection]0006.jpg,APAC,0.88
[apac]0001.jpg,[bullous]0002.jpg,output/composite_images/source_[apac]0001_on_target_[bullous]0002.jpg,APAC,0.96
[apac]0001.jpg,[immun]0005.jpg,output/composite_images/source_[apac]0001_on_target_[immun]0005.jpg,APAC,0.8
[apac]0001.jpg,[apac]0001.jpg,output/composite_images/source_[apac]0001_on_target_[apac]0001.jpg,APAC,0.74
[apac]0001.jpg,[tumor]0009.jpg,output/composite_images/source_[apac]0001_on_target_[tumor]0009.jpg,tumor,0.29
[apac]0001.jpg,[normal]0007.jpg,output/composite_images/source_[apac]0001_on_target_[normal]0007.jpg,APAC,0.84
[apac]0001.jpg,[scar]0008.jpg,output/composite_images/source_[apac]0001_on_target_[scar]0008.jpg,deposit,0.63
[apac]0001.jpg,[cat]0003.jpg,output/composite_images/source_[apac]0001_on_target_[cat]0003.jpg,deposit,0.7
[apac]0001.jpg,[deposit]0004.jpg,output/composite_images/source_[apac]0001_on_target_[deposit]0004.jpg,deposit,0.75
[tumor]0009.jpg,[infection]0006.jpg,output/composite_images/source_[tumor]0009_on_target_[infection]0006.jpg,infection,0.59
[tumor]0009.jpg,[bullous]0002.jpg,output/composite_images/source_[tumor]0009_on_target_[bullous]0002.jpg,non-infection,0.26
[tumor]0009.jpg,[immun]0005.jpg,output/composite_images/source_[tumor]0009_on_target_[immun]0005.jpg,tumor,0.87
[tumor]0009.jpg,[apac]0001.jpg,output/composite_images/source_[tumor]0009_on_target_[apac]0001.jpg,tumor,0.63
[tumor]0009.jpg,[tumor]0009.jpg,output/composite_images/source_[tumor]0009_on_target_[tumor]0009.jpg,tumor,0.9
[tumor]0009.jpg,[normal]0007.jpg,output/composite_images/source_[tumor]0009_on_target_[normal]0007.jpg,tumor,0.86
[tumor]0009.jpg,[scar]0008.jpg,output/composite_images/source_[tumor]0009_on_target_[scar]0008.jpg,tumor,0.92
[tumor]0009.jpg,[cat]0003.jpg,output/composite_images/source_[tumor]0009_on_target_[cat]0003.jpg,tumor,0.79
[tumor]0009.jpg,[deposit]0004.jpg,output/composite_images/source_[tumor]0009_on_target_[deposit]0004.jpg,tumor,0.95
[normal]0007.jpg,[infection]0006.jpg,output/composite_images/source_[normal]0007_on_target_[infection]0006.jpg,infection,0.9
[normal]0007.jpg,[bullous]0002.jpg,output/composite_images/source_[normal]0007_on_target_[bullous]0002.jpg,normal,0.97
[normal]0007.jpg,[immun]0005.jpg,output/composite_images/source_[normal]0007_on_target_[immun]0005.jpg,normal,0.97
[normal]0007.jpg,[apac]0001.jpg,output/composite_images/source_[normal]0007_on_target_[apac]0001.jpg,normal,0.93
[normal]0007.jpg,[tumor]0009.jpg,output/composite_images/source_[normal]0007_on_target_[tumor]0009.jpg,normal,0.97
[normal]0007.jpg,[normal]0007.jpg,output/composite_images/source_[normal]0007_on_target_[normal]0007.jpg,normal,0.97
[normal]0007.jpg,[scar]0008.jpg,output/composite_images/source_[normal]0007_on_target_[scar]0008.jpg,normal,0.98
[normal]0007.jpg,[cat]0003.jpg,output/composite_images/source_[normal]0007_on_target_[cat]0003.jpg,normal,0.97
[normal]0007.jpg,[deposit]0004.jpg,output/composite_images/source_[normal]0007_on_target_[deposit]0004.jpg,normal,0.97
[scar]0008.jpg,[infection]0006.jpg,output/composite_images/source_[scar]0008_on_target_[infection]0006.jpg,infection,0.93
[scar]0008.jpg,[bullous]0002.jpg,output/composite_images/source_[scar]0008_on_target_[bullous]0002.jpg,scar,0.62
[scar]0008.jpg,[immun]0005.jpg,output/composite_images/source_[scar]0008_on_target_[immun]0005.jpg,scar,0.96
[scar]0008.jpg,[apac]0001.jpg,output/composite_images/source_[scar]0008_on_target_[apac]0001.jpg,scar,0.89
[scar]0008.jpg,[tumor]0009.jpg,output/composite_images/source_[scar]0008_on_target_[tumor]0009.jpg,scar,0.95
[scar]0008.jpg,[normal]0007.jpg,output/composite_images/source_[scar]0008_on_target_[normal]0007.jpg,scar,0.94
[scar]0008.jpg,[scar]0008.jpg,output/composite_images/source_[scar]0008_on_target_[scar]0008.jpg,scar,0.96
[scar]0008.jpg,[cat]0003.jpg,output/composite_images/source_[scar]0008_on_target_[cat]0003.jpg,scar,0.92
[scar]0008.jpg,[deposit]0004.jpg,output/composite_images/source_[scar]0008_on_target_[deposit]0004.jpg,scar,0.96
[cat]0003.jpg,[infection]0006.jpg,output/composite_images/source_[cat]0003_on_target_[infection]0006.jpg,non-infection,0.73
[cat]0003.jpg,[bullous]0002.jpg,output/composite_images/source_[cat]0003_on_target_[bullous]0002.jpg,bullous,0.45
[cat]0003.jpg,[immun]0005.jpg,output/composite_images/source_[cat]0003_on_target_[immun]0005.jpg,lens opacity,0.53
[cat]0003.jpg,[apac]0001.jpg,output/composite_images/source_[cat]0003_on_target_[apac]0001.jpg,lens opacity,0.85
[cat]0003.jpg,[tumor]0009.jpg,output/composite_images/source_[cat]0003_on_target_[tumor]0009.jpg,lens opacity,0.86
[cat]0003.jpg,[normal]0007.jpg,output/composite_images/source_[cat]0003_on_target_[normal]0007.jpg,lens opacity,0.71
[cat]0003.jpg,[scar]0008.jpg,output/composite_images/source_[cat]0003_on_target_[scar]0008.jpg,lens opacity,0.86
[cat]0003.jpg,[cat]0003.jpg,output/composite_images/source_[cat]0003_on_target_[cat]0003.jpg,lens opacity,0.9
[cat]0003.jpg,[deposit]0004.jpg,output/composite_images/source_[cat]0003_on_target_[deposit]0004.jpg,scar,0.57
[deposit]0004.jpg,[infection]0006.jpg,output/composite_images/source_[deposit]0004_on_target_[infection]0006.jpg,deposit,0.91
[deposit]0004.jpg,[bullous]0002.jpg,output/composite_images/source_[deposit]0004_on_target_[bullous]0002.jpg,deposit,0.96
[deposit]0004.jpg,[immun]0005.jpg,output/composite_images/source_[deposit]0004_on_target_[immun]0005.jpg,deposit,0.97
[deposit]0004.jpg,[apac]0001.jpg,output/composite_images/source_[deposit]0004_on_target_[apac]0001.jpg,deposit,0.95
[deposit]0004.jpg,[tumor]0009.jpg,output/composite_images/source_[deposit]0004_on_target_[tumor]0009.jpg,deposit,0.97
[deposit]0004.jpg,[normal]0007.jpg,output/composite_images/source_[deposit]0004_on_target_[normal]0007.jpg,deposit,0.92
[deposit]0004.jpg,[scar]0008.jpg,output/composite_images/source_[deposit]0004_on_target_[scar]0008.jpg,deposit,0.97
[deposit]0004.jpg,[cat]0003.jpg,output/composite_images/source_[deposit]0004_on_target_[cat]0003.jpg,deposit,0.96
[deposit]0004.jpg,[deposit]0004.jpg,output/composite_images/source_[deposit]0004_on_target_[deposit]0004.jpg,deposit,0.94
